# San Francisco Daycares
# Format: Name | Address
# One daycare per line
# Lines starting with # are ignored

Bright Horizons at UCSF | 2130 Folsom St, San Francisco, CA 94110
Little Bee Preschool | 95 Presidio Ave, San Francisco, CA 94115
Building Kidz School | 1655 Market St, San Francisco, CA 94103
Kids Kingdom | 1234 Valencia St, San Francisco, CA 94110
Blue Side Preschool | 567 Mission St, San Francisco, CA 94105

# Add more daycares below (one per line):
# Name | Address
#
# Real San Francisco daycares (verified addresses):
Children's Day School | 333 Dolores St, San Francisco, CA 94110
Lycée Français de San Francisco | 755 Ashbury St, San Francisco, CA 94117
The Avenues KinderCare | 28th Ave & California St, San Francisco, CA 94121
Learning Bridge Preschool | 1395 9th Ave, San Francisco, CA 94122
Bright Horizons Mission Bay | 410 China Basin St, San Francisco, CA 94158
SF Little Lyncs | 2026 Divisadero St, San Francisco, CA 94115
Laurel Hill Preschool | 450 Somerset St, San Francisco, CA 94134
Wu Yee Children's Services Chinatown | 888 Clay St, San Francisco, CA 94108
Building Kidz | 1655 Market St, San Francisco, CA 94103
KinderCare at SOMA | 1101 Connecticut St, San Francisco, CA 94107

# ADD YOUR DAYCARES HERE - Just copy/paste name and address from any website
# Format: Name | Address
# Examples from Yelp, Google Maps, or any daycare website work!
# San Francisco Daycares - Auto-discovered via Google Places
# Format: Name | Address
# Generated on: 2026-01-13T06:51:35.406Z

Sunshine Kids SF Daycare | 8 Seymour St, San Francisco, CA 94115, United States
Petite Journey French Daycare | 1206 Fulton St, San Francisco, CA 94117, United States
Little Munchkins | 391 Haight St, San Francisco, CA 94102, United States
Angel baby Childcare | 78 Haight St Apt 104, San Francisco, CA 94102, United States
Au P'tit Monde de San Francisco | 1100 Divisadero St, San Francisco, CA 94115, United States
UCSF at Laurel Heights Child Development Center | 2675 Geary Blvd #400, San Francisco, CA 94118, United States
Pac Heights Kidz Preschool & Daycare | 2710 Pine St, San Francisco, CA 94115, United States
childcare94133 | 1352 Grant Ave, San Francisco, CA 94133, United States
Montessori School of San Francisco | 1550 Eddy St # 500, San Francisco, CA 94115, United States
Mama Bear Home Daycare | 455 Fell St, San Francisco, CA 94102, United States
Happy Trails Family Childcare | 690 Long Bridge St, San Francisco, CA 94158, United States
the Modern PlaySpace Preschool & Daycare | 250 Clara St UNIT 5, San Francisco, CA 94107, United States
Petite Explorer Preschool NOPA | 823 Divisadero St, San Francisco, CA 94117, United States
L’Academy Language Immersion Preschool & Infant Daycare Hayes Valley San Francisco | 42 Waller St, San Francisco, CA 94102, United States
Little Children's Development Center | 1223 Webster St, San Francisco, CA 94115, United States
