# San Francisco Daycares - Enhanced Auto-discovery via Google Places
# Format: Name | Address
# Generated on: 2026-01-13T07:15:40.246Z
# Total discovered: 673

Sunshine Kids SF Daycare | 8 Seymour St, San Francisco, CA 94115, United States
Little Munchkins | 391 Haight St, San Francisco, CA 94102, United States
Au P'tit Monde de San Francisco | 1100 Divisadero St, San Francisco, CA 94115, United States
Petite Journey French Daycare | 1206 Fulton St, San Francisco, CA 94117, United States
Angel baby Childcare | 78 Haight St Apt 104, San Francisco, CA 94102, United States
Pac Heights Kidz Preschool & Daycare | 2710 Pine St, San Francisco, CA 94115, United States
Petite Explorer Preschool NOPA | 823 Divisadero St, San Francisco, CA 94117, United States
Tuya's Daycare | 2731 Geary Blvd Unit A, San Francisco, CA 94118, United States
UCSF at Laurel Heights Child Development Center | 2675 Geary Blvd #400, San Francisco, CA 94118, United States
Apple Tree School | 888 Folsom St, San Francisco, CA 94107, United States
Little Learners Daycare | 222 Taylor St, San Francisco, CA 94102, United States
Mama Bear Home Daycare | 455 Fell St, San Francisco, CA 94102, United States
Montessori School of San Francisco | 1550 Eddy St # 500, San Francisco, CA 94115, United States
Sandmann Family Day Care | 4023 Cesar Chavez St, San Francisco, CA 94131, United States
Building Kidz of San Francisco | 143 Clement St, San Francisco, CA 94118, United States
El Papalote Family Childcare | 735 O'Farrell St #4, San Francisco, CA 94109, United States
Happy Trails Family Childcare | 690 Long Bridge St, San Francisco, CA 94158, United States
La Creche Daycare | 461 Ashbury St, San Francisco, CA 94117, United States
L’Academy Language Immersion Preschool & Infant Daycare Hayes Valley San Francisco | 42 Waller St, San Francisco, CA 94102, United States
Sky Bear ChildCare | 946 Elizabeth St, San Francisco, CA 94114, United States
Dolphin Stars Childcare | 1331 Harrison St, San Francisco, CA 94103, United States
Angela's Infant Children Center | 775 7th Ave, San Francisco, CA 94118, United States
Mission Montessori | 50 Fell St, San Francisco, CA 94102, United States
Children's Council of San Francisco | 445 Church St, San Francisco, CA 94114, United States
Laurel Hill Nursery School | 401 Euclid Ave, San Francisco, CA 94118, United States
Tiny Steps Daycare San Francisco | 39 Escondido Ave, San Francisco, CA 94132, United States
L’Academy Language Immersion Preschool and Infant Daycare Center | 685 Natoma St, San Francisco, CA 94103, United States
Jovie of San Francisco | 870 Market St Suite 405, San Francisco, CA 94102, United States
Blueside Preschool | 1019 Ashbury St Apt. 1, San Francisco, CA 94117, United States
L'Academy Language Immersion Preschool & Infant Daycare Potrero Hill San Francisco | 200 Kansas St, San Francisco, CA 94103, United States
C5 Children's School | 455 Golden Gate Ave #2400, San Francisco, CA 94102, United States
the Modern PlaySpace Preschool & Daycare | 250 Clara St UNIT 5, San Francisco, CA 94107, United States
Kids Kingdom | 1840 Lombard St, San Francisco, CA 94123, United States
Little Crystal Learning Child Care | 690 Long Bridge St #118, San Francisco, CA 94158, United States
L’Academy Language Immersion Preschool & Infant Daycare Mission/Noe San Francisco | 866 Valencia St, San Francisco, CA 94110, United States
L'Academy Language Immersion Preschool & Infant Daycare Nob Hill San Francisco | 1868 Van Ness Ave, San Francisco, CA 94109, United States
Rainbow Family Childcare | 3834 26th St, San Francisco, CA 94131, United States
L'Academy Language Immersion Preschool & Infant Daycare Lower Nob Hill / CPMC San Francisco | 1040/1060 Geary St, San Francisco, CA 94109, United States
Early Start Preschool & Child Care | 337 5th Ave, San Francisco, CA 94118, United States
Grammy's Day Care | 1225 Steiner St # 517, San Francisco, CA 94115, United States
DiDiDa Academy | 373 5th Ave, San Francisco, CA 94118, United States
Precious Babes Family Childcare | 1611 Powell St, San Francisco, CA 94133, United States
Meaningful Beginnings Development Center | 254 Laguna Honda Blvd, San Francisco, CA 94116, United States
UCSF at Mission Bay Child Development Center | 727 Nelson Rising Ln, San Francisco, CA 94158, United States
Lucy's Family Daycare | 936 S Van Ness Ave #19, San Francisco, CA 94110, United States
Semillitas Family Daycare | 771 Capp St, San Francisco, CA 94110, United States
Tiny Giants | 1748 Clay St, San Francisco, CA 94109, United States
Little Ducklings Daycare | 339 17th Ave, San Francisco, CA 94121, United States
Holy Family Day Home | 299 Dolores St, San Francisco, CA 94103, United States
Little Children's Development Center | 1223 Webster St, San Francisco, CA 94115, United States
Twinkle Star Day Care | 351 Ulloa St, San Francisco, CA 94127, United States
Friends of St Francis Child Cr | 50 Belcher St, San Francisco, CA 94114, United States
Magic Kingdom of Learning | 701 27th Ave, San Francisco, CA 94121, United States
Yerba Buena Gardens Child Development Center | 790 Folsom St, San Francisco, CA 94107, United States
Rainbow Kidz | 187 Gold Mine Dr, San Francisco, CA 94131, United States
Golden Gate Nannies | 575 Ivy St, San Francisco, CA 94102, United States
Sunshine & Smiles Daycare | 1070 Bridgeview, San Francisco, CA 94158, United States
Almaden Daycare | 48 Almaden Ct, San Francisco, CA 94118, United States
Bernal Infant and Child Care | 120 Virginia Ave, San Francisco, CA 94110, United States
BLUEBELL KIDS DAYCARE & PRESCHOOL | 243 Avila St, San Francisco, CA 94123, United States
Pacific Primary School | 1500 Grove St, San Francisco, CA 94117, United States
SLS Preschool | 1335 Sutter St, San Francisco, CA 94109, United States
The International School of San Francisco: Maternelle/Preschool | 1155 Page St, San Francisco, CA 94117, United States
Phoebe Hearst Preschool | 1315 Ellis St, San Francisco, CA 94115, United States
SF Tikes Academy | 1133 S Van Ness Ave, San Francisco, CA 94110, United States
San Francisco Waldorf Preschool | 2938 Washington St, San Francisco, CA 94115, United States
Alta Plaza Preschool | 2140 Pierce St, San Francisco, CA 94115, United States
JCCSF Helen Diller Family Preschool | 3200 California St, San Francisco, CA 94118, United States
L'Academy Language Immersion Preschool & Infant Daycare SOMA San Francisco | 55 Ringold Street, 322 8th St, San Francisco, CA 94103, United States
NOPA Montessori | 2114 Hayes St, San Francisco, CA 94117, United States
Montessori Children's House of the West Coast | 25 Lake St, San Francisco, CA 94118, United States
Haight Ashbury Cooperative Nursery School | 1180 Stanyan St, San Francisco, CA 94117, United States
Tinker Preschool Cole Valley Mandarin Immersion | 1749 Waller St, San Francisco, CA 94117, United States
Teremok Preschool | 2460 Sutter St, San Francisco, CA 94115, United States
Calvary Nursery School | 2515 Fillmore St, San Francisco, CA 94115, United States
Cole Valley Gan Preschool | 1300 Shrader St, San Francisco, CA 94117, United States
Chibi Chan Preschool | 2507 Pine St, San Francisco, CA 94115, United States
Little School | 1520 Lyon St, San Francisco, CA 94115, United States
Little Bee Preschool (Presidio) | 9 Funston Ave, San Francisco, CA 94129, United States
Rocky Mountain Participation Nursery School | 2475 15th St, San Francisco, CA 94114, United States
Lycee Francais de San Francisco | 755 Ashbury St, San Francisco, CA 94117, United States
Tinker Preschool Inc. | 554 Clement St, San Francisco, CA 94118, United States
Little Bee Preschool (Cow Hollow) | 2733 Lombard St, San Francisco, CA 94123, United States
Theresa S. Mahler Early Education School | 990 Church St, San Francisco, CA 94114, United States
One Fifty Parker Ave School | 150 Parker Ave, San Francisco, CA 94118, United States
Buen Dia Family School | 589 Guerrero St, San Francisco, CA 94110, United States
The Russian Hill School | 2026 Divisadero St, San Francisco, CA 94115, United States
Rosenberg Early Childhood Center | 325 Arguello Blvd, San Francisco, CA 94118, United States
Color Me French Preschool LLC | 125 Clement St, San Francisco, CA 94118, United States
Star of the Sea Preschool | 360 9th Ave, San Francisco, CA 94118, United States
Russian Hill Academy | 1520 Pacific Ave, San Francisco, CA 94109, United States
Les Kidz | 475 Panorama Dr, San Francisco, CA 94131, United States
Learning Bridge Preschool | 1050 Kirkham St, San Francisco, CA 94122, United States
Tule Elk Park Child Development Center | 2110 Greenwich St, San Francisco, CA 94123, United States
Studio Montessori | 633 8th St, San Francisco, CA 94103, United States
Peekadoodle Preschool | 4228 Geary Blvd, San Francisco, CA 94118, United States
Les Petits Canards French Immersion Preschool | 2521 McAllister St A, San Francisco, CA 94118, United States
Little Star Preschool Too | 1105 Quintara St, San Francisco, CA 94116, United States
¡HolaKids! Spanish Immersion Preschool | 301 Euclid Ave, San Francisco, CA 94118, United States
Happy Garden Child Care Center | 18 Day St, San Francisco, CA 94110, United States
Mis Amigos Daycare Childcare Services in San Francisco | 314 Cortland Ave, San Francisco, CA 94110, United States
Mission Child Care Consortium, Inc | 4750 Mission St, San Francisco, CA 94112, United States
Chinatown Community Children's Center | 979 Clay St, San Francisco, CA 94108, United States
Child Development Center | 2333 Buchanan St, San Francisco, CA 94115, United States
UCSF at Marilyn Reed Lucia Child Development Center | 610 Parnassus Ave, San Francisco, CA 94122, United States
Golden Childhood Daycare | 33 Colby St, San Francisco, CA 94134, United States
UCSF at Kirkham Child Development Center | 10 Kirkham St, San Francisco, CA 94143, United States
Building Kidz of San Francisco on 20th Ave | 1258 20th Ave, San Francisco, CA 94122, United States
South of Market Child Care | 790 Folsom St, San Francisco, CA 94107, United States
Suen An Child Care (Learn n Play) | 1655 Powell St, San Francisco, CA 94133, United States
Creative Gardens Preschool and Daycare Center | 1429 Valencia St, San Francisco, CA 94110, United States
Panda Garden Family Child Care | 2570 23rd Ave, San Francisco, CA 94116, United States
Huellitas Family Child Care | 2265 Mission St APT 1, San Francisco, CA 94110, United States
Whitney Young Child Development Center | 1101 Masonic Ave, San Francisco, CA 94117, United States
Wu Yee Children's Services - Chinatown Infant Center | 831 Broadway, San Francisco, CA 94133, United States
Modern Education Family Childcare - Mission Bay | will be provided upon tour request, 1180 4th St Unit number, San Francisco, CA 94158, United States
CCFC-Mary Lane Infant And Toddler Center | 1 Webster St, San Francisco, CA 94123, United States
Wu Yee Children's Services - Golden Gate | 177 Golden Gate Ave, San Francisco, CA 94102, United States
Bright Horizons at One Letterman | One Letterman Dr Bldg. B, San Francisco, CA 94129, United States
Shayna's Family Daycare | 1745 Clement St, San Francisco, CA 94121, United States
Angel's Family Home Daycare | 702 Naples St, San Francisco, CA 94112, United States
Gigi’s Family Daycare | 100 Baden St, San Francisco, CA 94131, United States
Smiley Family Daycare | 96 Ney St, San Francisco, CA 94110, United States
Keydin’s Family Daycare | 43 Harrington St, San Francisco, CA 94112, United States
Diana's Family Daycare | 45 Water St, San Francisco, CA 94133, United States
Liliana’s Family Daycare | 2351 41st Ave, San Francisco, CA 94116, United States
Hongs family daycare | 1642 24th Ave, San Francisco, CA 94122, United States
YanDan's family child care (Potrero Hill) | 1601 Mariposa St, San Francisco, CA 94107, United States
Silvia's Family Daycare | 646 Lombard St, San Francisco, CA 94133, United States
Fun With Kooky Family Daycare | 1180 4th St Room 215, San Francisco, CA 94158, United States
Bright Star Family Child Care | 71 Canyon Dr, San Francisco, CA 94112, United States
HappyChild Family Daycare | 730 Paris St, San Francisco, CA 94112, United States
Sweet Home Family Child Care | 900 Silver Ave, San Francisco, CA 94134, United States
Amy’s family child care(China basin) | 701 China Basin St Apt113, San Francisco, CA 94158, United States
SmileyBaby Family Child Care | 475 Hamilton St, San Francisco, CA 94134, United States
Tater Tots Family Daycare | 43 Brighton Ave, San Francisco, CA 94112, United States
Sunny Side Tots Childcare | 329 Silver Ave, San Francisco, CA 94112, United States
Each One Teach One Family Childcare | 141 Wool St, San Francisco, CA 94110, United States
Little cookies family child care | 1368 20th Ave, San Francisco, CA 94122, United States
Little Dinos Family Childcare | 600 Niagara Ave, San Francisco, CA 94112, United States
Jenny's Family Daycare | 95 Granada Ave, San Francisco, CA 94112, United States
Dong Dong's Family Childcare | 1615 Wallace Ave, San Francisco, CA 94124, United States
Our Rainbow Kids Family Childcare | 2566 23rd Ave, San Francisco, CA 94116, United States
Blooming Stars Family Daycare | 222 Beale St, San Francisco, CA 94105, United States
Little Dolphin Day Care | 1822 39th Ave, San Francisco, CA 94122, United States
Golden Sun Family Childcare | 2131 Ortega St, San Francisco, CA 94122, United States
Modern Education Family Childcare - SoMa | hidden for privacy, 821 Folsom St Unit number, San Francisco, CA 94107, United States
Ellie Daycare | 1719 32nd Ave, San Francisco, CA 94122, United States
Little Angels Family Day Care | 1144 Irving St, San Francisco, CA 94122, United States
Winnie Cuties Family Childcare | 345 20th Ave, San Francisco, CA 94121, United States
Little Flowers Family Daycare | 137 Apollo St, San Francisco, CA 94124, United States
Pasitos Gigantes Daycare | 1454 9th Ave Unit A, San Francisco, CA 94122, United States
Noe Valley Family Childcare | 309 30th St, San Francisco, CA 94131, United States
